date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:11	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%2243-1759828d23f%22	http://ctrl.wearemist.in/robots.txt		(from )
00:47:18	1111/1111	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2019:17:11%20GMT	http://ctrl.wearemist.in/	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/index.html	(from )
00:47:19	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-1759828d23f%22	http://ctrl.wearemist.in/favicon.ico	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/favicon.ico	(from http://ctrl.wearemist.in/)
00:47:19	160302/160302	---M-Z	200	added ('OK')	text/css	etag:%221596732221%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	/Users/kunalbhatia/websites/trialscape/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from http://ctrl.wearemist.in/)
00:47:21	1111/1111	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202020%2019:17:20%20GMT	http://ctrl.wearemist.in/logo192.png	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/logo192.html	(from http://ctrl.wearemist.in/)
00:47:22	486/486	---MCZ	200	added ('OK')	application/json	etag:W/%221e6-1759828d23f%22	http://ctrl.wearemist.in/manifest.json	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/manifest.json	(from http://ctrl.wearemist.in/)
00:47:22	19192/19192	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c24-L23dkfKN1Tr37C1MVbSOTq+d4Po%22	http://ctrl.wearemist.in/static/js/bundle.js	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/static/js/bundle.js	(from http://ctrl.wearemist.in/)
00:47:29	153017/153017	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231305-JbjHGDhfW4HQIeOn5OXUoY54sPk%22	http://ctrl.wearemist.in/static/js/main.chunk.js	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/static/js/main.chunk.js	(from http://ctrl.wearemist.in/)
00:47:31	486/486	URF---	200	added ('OK%20(cached)')	application/json		http://ctrl.wearemist.in/manifest.json	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/manifest.json	(from http://ctrl.wearemist.in/)
00:47:31	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f985973-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	/Users/kunalbhatia/websites/trialscape/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from http://ctrl.wearemist.in/)
00:47:31	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2005%20Nov%202020%2019:17:30%20GMT	http://ctrl.wearemist.in/static/js/bundle.js	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/static/js/bundle.js	(from http://ctrl.wearemist.in/)
00:47:33	186/186	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Thu,%2005%20Nov%202020%2019:17:31%20GMT	http://ctrl.wearemist.in/static/js/main.chunk.js	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/static/js/main.chunk.js	(from http://ctrl.wearemist.in/)
00:47:35	12310/12310	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225f985973-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	/Users/kunalbhatia/websites/trialscape/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from http://ctrl.wearemist.in/)
00:48:43	4841915/4841915	---MCZ	200	added ('OK')	application/javascript	etag:W/%226594ed-bNhlcORlDkKBDdCavIOkvXD73/k%22	http://ctrl.wearemist.in/static/js/0.chunk.js	/Users/kunalbhatia/websites/trialscape/ctrl.wearemist.in/static/js/0.chunk.js	(from http://ctrl.wearemist.in/)
